position,caller,owner,healthFactor,healthFactorRaw,isLiquidatable,status,error
0x7212DcfD764124D9cF18E0589593C72025cF0925,0x75974D55a92c6DA74ebfB349F9eF3dD2b565E052,0x75974D55a92c6DA74ebfB349F9eF3dD2b565E052,1.000288,1000288142837698690,false,HEALTHY,""
0xD2bC6E25cd4bd017920932d9281153cDD65084a1,0x59589ae06ABDd356812539A1101E52357Be9c692,0x59589ae06ABDd356812539A1101E52357Be9c692,1.029031,1029030953916345074,false,HEALTHY,""
0x4F0B4a44EBD8CF12E78BB74d571c681E3c4ca43E,0x68ecb2b2947718690DEaFf03040DbBc50042F49D,0x68ecb2b2947718690DEaFf03040DbBc50042F49D,1.052267,1052266697115385934,false,HEALTHY,""
0x834cA04c45fE65ae36E742873C5113D92BE691d8,0x6b8759Fb232017cca6A065892EBE0D1AD84306C5,0x6b8759Fb232017cca6A065892EBE0D1AD84306C5,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0xF9D4751A9C81C9dd1c7Dc1c522082908EcdAac89,0xDB75D58e00106A8dfdbAf225Ff9257529cc37f53,0xDB75D58e00106A8dfdbAf225Ff9257529cc37f53,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0xf64Cb42D01DEB451b345D07543D35b463aA83977,0xAeAe3319f670f1F7aA18b42f9d5f3452F4ee69e6,0xAeAe3319f670f1F7aA18b42f9d5f3452F4ee69e6,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x9EADF2171Ae1EbDf0130E696ddECC8217620c40b,0xDD363962FBa5767aeECfb6c16aF738aC2F5d35D0,0xDD363962FBa5767aeECfb6c16aF738aC2F5d35D0,1.799378,1799377824074051243,false,HEALTHY,""
0x06938c6B1004fC39E3DdC45FED3340f1Ca43a20d,0x3b9A65AE86384191E267811d40b612c705176868,0x3b9A65AE86384191E267811d40b612c705176868,1.285270,1285270157600734237,false,HEALTHY,""
0x3C0De27F0F76dc29360142B4c6326D4153027fA5,0xa2A2819eD645bd58Ec0a44587bf55E81c210e4C4,0xa2A2819eD645bd58Ec0a44587bf55E81c210e4C4,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x06B99d7333a32C6044fD1e2b71104F7111dB6Ad8,0x59f4419602774c56c35dF3d5dfFD7Af2F80C01B2,0x59f4419602774c56c35dF3d5dfFD7Af2F80C01B2,1.110732,1110732277892870715,false,HEALTHY,""
0xe5466733849ac07FF6FcA3b90bCF724765c2755B,0x8da1b2DBe05a43f0639Bd7B460335a48E0e7E8EC,0x8da1b2DBe05a43f0639Bd7B460335a48E0e7E8EC,1.191651,1191650531198536808,false,HEALTHY,""
0xCcef9d75eBb556E29c88eD06813b1c2eB4Ea0DcC,0xdCdeA9c89727410572E686C7CffEc4A08300A934,0xdCdeA9c89727410572E686C7CffEc4A08300A934,1.058466,1058466320044252619,false,HEALTHY,""
0x0FD0e44Df06A3B4F51d264b2494C64F29E4baF03,0x2b6091da312A3591DF6a94b24dD3c34d2B01Ca22,0x2b6091da312A3591DF6a94b24dD3c34d2B01Ca22,1.058466,1058465545948214979,false,HEALTHY,""
0x518a8FCAB6F9bf926C5560e805518C1d5097E1D0,0x04Efd3C3C53143B24D976ad47e259d527BcA6917,0x04Efd3C3C53143B24D976ad47e259d527BcA6917,1.097190,1097190215413685200,false,HEALTHY,""
0x4F5D4D422cB711d878C608d301756ba7f1118905,0x9120d37C113b3a5f2c002CC81c990023fC96B213,0x9120d37C113b3a5f2c002CC81c990023fC96B213,1.485613,1485613116725881163,false,HEALTHY,""
0xAA04c2De2c2D8AC00A4E72e0AD0404145F70d343,0xf2307990cc1D4b3A03839d70C902e3a6E9FCE8C2,0xf2307990cc1D4b3A03839d70C902e3a6E9FCE8C2,1.058468,1058468066716917855,false,HEALTHY,""
0x18c7504e187Bb5834C0b3a749DC6197e499b4241,0x47Dee11e0D84F05d7726b69666595700F3f0d883,0x47Dee11e0D84F05d7726b69666595700F3f0d883,1.124622,1124622115332111618,false,HEALTHY,""
0xc40A025aE21BAbd3C5E2EAa1AF5dd75d846DcDE6,0x6528d1c28AeBBd04CD58F70326599f0AB903DCA7,0x6528d1c28AeBBd04CD58F70326599f0AB903DCA7,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0xB351a6cc97406b29cE583b2d1e3628237f45c555,0x3A306B33a1Da8A0412983b8C4939F8a9cd568f40,0x3A306B33a1Da8A0412983b8C4939F8a9cd568f40,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x023f27aBa12D3A0281B5Aa5eD9b195835793e987,0x607791ccc8E4821aE16e79f738b230335F6A0B3A,0x607791ccc8E4821aE16e79f738b230335F6A0B3A,1.363607,1363606507854113613,false,HEALTHY,""
0xEf28139ed612C9fa4bBb86c3369B46bc4BFeF0fE,0x607791ccc8E4821aE16e79f738b230335F6A0B3A,0x607791ccc8E4821aE16e79f738b230335F6A0B3A,1.311504,1311503657639696125,false,HEALTHY,""
0x27bC66D29A3A43F4091eb22eDF7175D38B3C916E,0x27134A8C5588d61d3D3e745a5978A37ee559e05e,0x27134A8C5588d61d3D3e745a5978A37ee559e05e,1.058471,1058470637274371824,false,HEALTHY,""
0x577571576805f12F5876cc0DA7C83Ae97DB0aE60,0x27134A8C5588d61d3D3e745a5978A37ee559e05e,0x27134A8C5588d61d3D3e745a5978A37ee559e05e,1.058471,1058470547139632969,false,HEALTHY,""
0xDcc313553ff160CBf6B3Fa12C5F9Fc8C4608c431,0xe0044100165A698B154B4CbCc42ecaF3066C4119,0xe0044100165A698B154B4CbCc42ecaF3066C4119,1.080788,1080788123112633913,false,HEALTHY,""
0x87Fa2993b725Fd97415c16999eF61d797DceEB27,0x5F7c466E79aB5a7a322564622fdB67e6dB947Aa5,0x5F7c466E79aB5a7a322564622fdB67e6dB947Aa5,1.117642,1117641543559501589,false,HEALTHY,""
0x2F88668371D1AFed3714A36C6d8b1069f7E660be,0xf270F123d12B1FBD15dD197c0745506687F2503e,0xf270F123d12B1FBD15dD197c0745506687F2503e,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x1973C21e582c799ad09c1EBaA10Eab0Ee382238f,0xcE796841c048a694Df93Df4D0EF9200c25708B5c,0xcE796841c048a694Df93Df4D0EF9200c25708B5c,1.874377,1874377417317357714,false,HEALTHY,""
0x9fb81BBdBBe7341190EBDd5B7a1CF59328aF70fd,0xcE796841c048a694Df93Df4D0EF9200c25708B5c,0xcE796841c048a694Df93Df4D0EF9200c25708B5c,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
